config_name,wing_mode,broken_wing_extra_width,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars
symmetric_bw0_w60_tol10_rt18_dp8_cd90,symmetric,0.0,60.0,120.0,10.0,18.0,8,90,45965.6279,0.459656,-4121.54,0.5177,0.42,550,0.861818,6.173665,7.207381,895.5121,-3149.5613,4777.8,4794.6
symmetric_bw0_w60_tol10_rt14_dp10_cd90,symmetric,0.0,60.0,120.0,10.0,14.0,10,90,45837.0112,0.45837,-4131.179999999999,0.5177,0.452,569,0.864675,4.840002,5.322557,1068.1583,-3159.1995,4777.8,4794.6
symmetric_bw0_w60_tol10_rt16_dp10_cd60,symmetric,0.0,60.0,120.0,10.0,16.0,10,60,45110.6998,0.451107,-4131.179999999999,0.5177,0.472,568,0.867958,4.823528,5.313996,1031.2735,-3159.1995,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt16_dp8_cd90,symmetric,0.0,60.0,120.0,12.5,16.0,8,90,45095.1575,0.450952,-4221.51,0.5972,0.4,549,0.854281,5.898164,6.694517,894.5935,-3151.4469,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt18_dp8_cd60,symmetric,0.0,60.0,120.0,12.5,18.0,8,60,44196.942,0.441969,-4221.51,0.5972,0.404,544,0.858456,5.908968,6.618695,980.436,-3151.4469,4777.8,4794.6
symmetric_bw0_w60_tol10_rt16_dp10_cd90,symmetric,0.0,60.0,120.0,10.0,16.0,10,90,43530.3756,0.435304,-4131.179999999999,0.5177,0.412,553,0.855335,4.634595,5.112774,926.8883,-3159.1995,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt18_dp8_cd90,symmetric,0.0,60.0,120.0,12.5,18.0,8,90,43273.9773,0.43274,-4221.51,0.5972,0.356,533,0.844278,5.635325,6.443601,894.5935,-3151.4469,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt14_dp10_cd60,symmetric,0.0,60.0,120.0,12.5,14.0,10,60,42012.9905,0.42013,-4244.49,0.5972,0.376,541,0.848429,4.450477,4.786072,1045.2978,-3159.1995,4777.8,4794.6
symmetric_bw0_w60_tol10_rt18_dp10_cd60,symmetric,0.0,60.0,120.0,10.0,18.0,10,60,41113.3771,0.411134,-4131.179999999999,0.5177,0.38,536,0.856343,4.48082,4.906987,1031.2735,-3159.1995,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt14_dp10_cd90,symmetric,0.0,60.0,120.0,12.5,14.0,10,90,40944.5126,0.409445,-4244.49,0.5972,0.332,530,0.837736,4.302558,4.664158,1045.2978,-3159.1995,4777.8,4794.6
symmetric_bw0_w60_tol12p5_rt16_dp10_cd60,symmetric,0.0,60.0,120.0,12.5,16.0,10,60,40328.5392,0.403285,-4244.49,0.5972,0.344,528,0.842803,4.296909,4.634275,1029.8648,-3159.1995,4777.8,4794.6
