timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,friction_cost,close_value,realized_pnl,drift_distance
2025-09-15T13:50:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,660.46,659.0,218.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,654.0,659.0,664.0,5.0,5.0,1.156,0.056,,,
2025-09-15T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,659.93,658.0,217.0,Session window closed.,PRIMARY,653.0,658.0,663.0,5.0,5.0,1.156,,1.7582,0.6022,
2025-09-15T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,659.93,659.0,218.0,Session window closed.,SUPPLEMENTAL,654.0,659.0,664.0,5.0,5.0,1.156,,1.875,0.719,
2025-09-16T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,660.9,660.0,219.0,Opened the primary butterfly corridor layer.,PRIMARY,655.0,660.0,665.0,5.0,5.0,1.156,0.056,,,
2025-09-16T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,659.9,660.0,219.0,Session window closed.,PRIMARY,655.0,660.0,665.0,5.0,5.0,1.156,,1.9745,0.8185,
2025-09-17T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,660.17,660.0,220.0,Opened the primary butterfly corridor layer.,PRIMARY,655.0,660.0,665.0,5.0,5.0,1.156,0.056,,,
2025-09-17T18:00:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,661.61,660.0,220.0,Regime turned TREND_UP.,PRIMARY,655.0,660.0,665.0,5.0,5.0,1.156,,1.772,0.616,
2025-09-17T18:05:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,660.21,660.0,221.0,Opened the primary butterfly corridor layer.,PRIMARY,655.0,660.0,665.0,5.0,5.0,1.156,0.056,,,
2025-09-17T18:35:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,656.89,658.0,222.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,653.0,658.0,663.0,5.0,5.0,1.156,0.056,,,
2025-09-17T18:50:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,654.85,660.0,221.0,Momentum expansion exceeded the abort threshold.,PRIMARY,655.0,660.0,665.0,5.0,5.0,1.156,,0.0,-1.156,
2025-09-17T18:50:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,654.85,658.0,222.0,Momentum expansion exceeded the abort threshold.,SUPPLEMENTAL,653.0,658.0,663.0,5.0,5.0,1.156,,1.5514,0.3954,
2025-09-17T18:55:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,657.72,658.0,223.0,Opened the primary butterfly corridor layer.,PRIMARY,653.0,658.0,663.0,5.0,5.0,1.156,0.056,,,
2025-09-17T19:20:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,660.14,659.0,224.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,654.0,659.0,664.0,5.0,5.0,1.156,0.056,,,
2025-09-17T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,659.4,658.0,223.0,Session window closed.,PRIMARY,653.0,658.0,663.0,5.0,5.0,1.156,,1.7396,0.5836,
2025-09-17T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,659.4,659.0,224.0,Session window closed.,SUPPLEMENTAL,654.0,659.0,664.0,5.0,5.0,1.156,,1.8368,0.6808,
2025-09-18T16:25:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,663.46,663.0,225.0,Opened the primary butterfly corridor layer.,PRIMARY,658.0,663.0,668.0,5.0,5.0,1.156,0.056,,,
2025-09-18T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,662.41,663.0,225.0,Session window closed.,PRIMARY,658.0,663.0,668.0,5.0,5.0,1.156,,1.8691,0.7131,
2025-09-19T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,662.41,662.0,226.0,Opened the primary butterfly corridor layer.,PRIMARY,657.0,662.0,667.0,5.0,5.0,1.156,0.056,,,
2025-09-19T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,663.64,662.0,226.0,Session window closed.,PRIMARY,657.0,662.0,667.0,5.0,5.0,1.156,,1.7925,0.6365,
2025-09-22T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,662.89,663.0,227.0,Opened the primary butterfly corridor layer.,PRIMARY,658.0,663.0,668.0,5.0,5.0,1.156,0.056,,,
2025-09-22T16:25:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,665.85,665.0,228.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,660.0,665.0,670.0,5.0,5.0,1.156,0.056,,,
2025-09-22T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,667.0,663.0,227.0,Session window closed.,PRIMARY,658.0,663.0,668.0,5.0,5.0,1.156,,1.5136,0.3576,
2025-09-22T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,667.0,665.0,228.0,Session window closed.,SUPPLEMENTAL,660.0,665.0,670.0,5.0,5.0,1.156,,1.7121,0.5561,
2025-09-23T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,666.99,667.0,229.0,Opened the primary butterfly corridor layer.,PRIMARY,662.0,667.0,672.0,5.0,5.0,1.156,0.056,,,
2025-09-23T16:05:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,665.15,666.0,230.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,661.0,666.0,671.0,5.0,5.0,1.156,0.056,,,
2025-09-23T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,662.74,667.0,229.0,Session window closed.,PRIMARY,662.0,667.0,672.0,5.0,5.0,1.156,,1.4829,0.3269,
2025-09-23T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,662.74,666.0,230.0,Session window closed.,SUPPLEMENTAL,661.0,666.0,671.0,5.0,5.0,1.156,,1.5755,0.4195,
2025-09-24T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,662.94,663.0,231.0,Opened the primary butterfly corridor layer.,PRIMARY,658.0,663.0,668.0,5.0,5.0,1.156,0.056,,,
2025-09-24T15:55:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,660.39,662.0,232.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,657.0,662.0,667.0,5.0,5.0,1.156,0.056,,,
2025-09-24T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,660.8,663.0,231.0,Session window closed.,PRIMARY,658.0,663.0,668.0,5.0,5.0,1.156,,1.7263,0.5703,
2025-09-24T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,660.8,662.0,232.0,Session window closed.,SUPPLEMENTAL,657.0,662.0,667.0,5.0,5.0,1.156,,1.8093,0.6533,
2025-09-25T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,656.18,659.0,233.0,Opened the primary butterfly corridor layer.,PRIMARY,654.0,659.0,664.0,5.0,5.0,1.156,0.056,,,
2025-09-25T13:50:00+00:00,SPY,ABORTED,ACTIVE_CENTERED,655.65,659.0,233.0,Regime turned TREND_DOWN.,PRIMARY,654.0,659.0,664.0,5.0,5.0,1.156,,1.5289,0.3729,
2025-09-25T14:10:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,657.99,659.0,234.0,Opened the primary butterfly corridor layer.,PRIMARY,654.0,659.0,664.0,5.0,5.0,1.156,0.056,,,
2025-09-25T17:45:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,656.15,657.0,235.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,652.0,657.0,662.0,5.0,5.0,1.156,0.056,,,
2025-09-25T18:00:00+00:00,SPY,DRIFT_STARTED,DRIFTING,654.48,658.0,,Corridor drift started.,,,,,,,,,,,3.52
2025-09-25T18:05:00+00:00,SPY,DRIFT_RESOLVED,ACTIVE_CENTERED,655.19,657.0,,Drift resolved without rebuilding.,,,,,,,,,,,
