timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_distance,drift_count
2026-02-04T17:40:00+00:00,SPX,ABORTED,DRIFTING,6852.0,6905.0,1962.0,Regime turned TREND_DOWN.,PRIMARY,6805.0,6905.0,6965.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,13.4691,15.932,1.3831,3.932,0.086,conservative,,
2026-02-06T18:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6911.49,6900.0,1963.0,Opened the primary butterfly corridor layer.,PRIMARY,6800.0,6900.0,6960.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-06T18:35:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6914.82,6905.0,1964.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6805.0,6905.0,6965.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-06T18:40:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6915.08,6900.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,15.08,
2026-02-06T18:45:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6917.25,6905.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06T18:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6911.76,6900.0,1963.0,Primary take-profit reached.,PRIMARY,6800.0,6900.0,6960.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2076,14.5948,17.2563,2.5088,5.2563,0.086,conservative,,
2026-02-06T18:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6911.76,6905.0,1964.0,Primary take-profit reached.,SUPPLEMENTAL,6805.0,6905.0,6965.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2076,14.8687,17.5786,2.7827,5.5786,0.086,conservative,,
2026-02-09T14:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6934.96,6920.0,1965.0,Opened the primary butterfly corridor layer.,PRIMARY,6820.0,6920.0,6980.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-09T14:50:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6925.32,6920.0,1965.0,Primary take-profit reached.,PRIMARY,6820.0,6920.0,6980.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2352,14.9284,17.6488,2.8424,5.6488,0.086,conservative,,
2026-02-09T14:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6926.97,6920.0,1966.0,Opened the primary butterfly corridor layer.,PRIMARY,6820.0,6920.0,6980.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
